element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ar,2,"=""401.12084""","=""0.00006""","=""401.120922""","=""0.000005""","=""12""","=""3.1e+06""",D,"=""158167.7999""","=""183090.8927""","=""3s2.3p4.(3P).4p""","=""4D*""","=""3/2""","=""3s2.3p4.(3P).5s""","=""2P""","=""3/2""",,"=""T1240""","=""L11520""",
Ar,2,"=""401.38561""","=""0.00001""","=""401.385610""","=""0.000008""","=""145""","=""1.05e+07""",A,"=""132327.3616""","=""157234.0196""","=""3s2.3p4.(3P).3d""","=""4D""","=""7/2""","=""3s2.3p4.(3P).4p""","=""4D*""","=""7/2""",,"=""T926""","=""L11520""",
Ar,2,"=""401.98434""","=""0.00010""","=""401.98429""","=""0.00003""","=""7""","=""""",,"=""190196.2066""","=""215065.7716""","=""3s2.3p4.(3P).5p""","=""2P*""","=""1/2""","=""3s2.3p4.(1S).5s""","=""2S""","=""1/2""",,"=""""","=""L11520""",
Ar,3,"=""402.35864""","=""0.00015""","=""402.35853""","=""0.00013""","=""4""","=""""",,"=""214347.599""","=""239194.033""","=""3s2.3p3.(2D*).3d""","=""3P*""","=""1""","=""3s2.3p3.(2P*).4p""","=""3S""","=""1""",,"=""""","=""L11520""",
Ar,2,"=""403.13769""","=""0.00014""","=""403.137797""","=""0.000010""","=""6""","=""7.5e+06""",B,"=""159393.3850""","=""184191.7917""","=""3s2.3p4.(3P).4p""","=""2D*""","=""3/2""","=""3s2.3p4.(3P).4d""","=""4D""","=""1/2""",,"=""T926""","=""L11520""",
Ar,2,"=""403.38090""","=""0.00001""","=""403.380915""","=""0.000007""","=""95""","=""9.8e+07""",D,"=""158167.7999""","=""182951.2609""","=""3s2.3p4.(3P).4p""","=""4D*""","=""3/2""","=""3s2.3p4.(3P).5s""","=""4P""","=""1/2""",,"=""T1240""","=""L11520""",
Ar,2,"=""403.4783""","=""0.0016""","=""403.477769""","=""0.000007""","=""1bl,G?""","=""""",,"=""186816.0496""","=""211593.5615""","=""3s2.3p4.(3P).4d""","=""2F""","=""7/2""","=""3s2.3p4.(3P<1>).6f""","=""2[4]*""","=""9/2""",,"=""""","=""L14821""",
Ar,2,"=""403.54595""","=""0.00002""","=""403.545971""","=""0.000005""","=""50""","=""4.4e+06""",B,"=""148620.1414""","=""173393.4658""","=""3s2.3p4.(1D).4s""","=""2D""","=""3/2""","=""3s2.3p4.(1D).4p""","=""2D*""","=""5/2""",,"=""T926""","=""L11520""",
Ar,2,"=""403.88039""","=""0.00005""","=""403.880380""","=""0.000008""","=""18""","=""1.2e+06""",B,"=""132481.2068""","=""157234.0196""","=""3s2.3p4.(3P).3d""","=""4D""","=""5/2""","=""3s2.3p4.(3P).4p""","=""4D*""","=""7/2""",,"=""T926""","=""L11520""",
Ar,2,"=""404.2190""","=""0.0008""","=""404.218100""","=""0.000007""","=""3""","=""4.e+05""",C,"=""145668.8845""","=""170401.0170""","=""3s2.3p4.(3P).3d""","=""2P""","=""3/2""","=""3s2.3p4.(1D).4p""","=""2F*""","=""5/2""",,"=""T926""","=""L14821""",
